feature_set,model,test_file,val_file,policy,feature_count,test_windows,test_positive_windows,threshold,precision,recall,f1,fpr,auroc,pr_auc,tn,fp,fn,tp
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_39.csv,RogueAP_38.csv,best_f1,121,465,24,0.8699493956565858,0.6666666666666666,0.4166666666666667,0.5128205128205128,0.011337868480725623,0.9036281179138321,0.5337282149747451,436,5,14,10
drop_mgmt_fingerprint,xgb_per_bssid,RogueAP_39.csv,RogueAP_38.csv,fpr_le_0.20,121,465,24,0.7044327259063721,0.22972972972972974,0.7083333333333334,0.3469387755102041,0.1292517006802721,0.9036281179138321,0.5337282149747451,384,57,7,17
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_39.csv,RogueAP_38.csv,best_f1,121,465,24,0.6651082146839203,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.045351473922902494,0.8595049130763417,0.3292604080295265,421,20,16,8
drop_mgmt_fingerprint,rf_per_bssid,RogueAP_39.csv,RogueAP_38.csv,fpr_le_0.20,121,465,24,0.4533521784036365,0.12643678160919541,0.9166666666666666,0.2222222222222222,0.34467120181405897,0.8595049130763417,0.3292604080295265,289,152,2,22
drop_phy_radio,xgb_per_bssid,RogueAP_23.csv,RogueAP_39.csv,best_f1,95,1000,1,0.6498865318298341,0.043478260869565216,1.0,0.08333333333333333,0.022022022022022022,0.9999999999999999,1.0,977,22,0,1
drop_phy_radio,xgb_per_bssid,RogueAP_23.csv,RogueAP_39.csv,fpr_le_0.20,95,1000,1,0.6590156555175781,0.043478260869565216,1.0,0.08333333333333333,0.022022022022022022,0.9999999999999999,1.0,977,22,0,1
drop_phy_radio,rf_per_bssid,RogueAP_23.csv,RogueAP_39.csv,best_f1,95,1000,1,0.36387331427811753,0.03571428571428571,1.0,0.06896551724137931,0.02702702702702703,0.990990990990991,0.1,972,27,0,1
drop_phy_radio,rf_per_bssid,RogueAP_23.csv,RogueAP_39.csv,fpr_le_0.20,95,1000,1,0.2980461362031456,0.02857142857142857,1.0,0.05555555555555555,0.03403403403403404,0.990990990990991,0.1,965,34,0,1
drop_phy_radio,xgb_per_bssid,RogueAP_24.csv,RogueAP_39.csv,best_f1,95,1001,28,0.8737879467010498,0.16964285714285715,0.6785714285714286,0.2714285714285714,0.09558067831449127,0.9238731463808545,0.2105624411082677,880,93,9,19
drop_phy_radio,xgb_per_bssid,RogueAP_24.csv,RogueAP_39.csv,fpr_le_0.20,95,1001,28,0.6992546319961548,0.12807881773399016,0.9285714285714286,0.22510822510822512,0.18191161356628982,0.9238731463808545,0.2105624411082677,796,177,2,26
