model,test_file,val_file,policy,test_windows,test_positive_windows,threshold,precision,recall,f1,fpr,auroc,pr_auc,tn,fp,fn,tp
rf_per_bssid,RogueAP_37.csv,RogueAP_39.csv,fpr_le_0.30,1001,105,0.4515240607841521,0.5526315789473685,1.0,0.711864406779661,0.09486607142857142,0.9732780612244898,0.7546129077298971,811,85,0,105
xgb_per_bssid,RogueAP_37.csv,RogueAP_39.csv,best_f1,1001,105,0.7014538884162917,0.5833333333333334,1.0,0.7368421052631579,0.08370535714285714,0.9729007227891155,0.7606074779026543,821,75,0,105
xgb_per_bssid,RogueAP_37.csv,RogueAP_39.csv,fpr_le_0.20,1001,105,0.8259249925613403,0.5932203389830508,1.0,0.7446808510638298,0.08035714285714286,0.9729007227891155,0.7606074779026543,824,72,0,105
xgb_per_bssid,RogueAP_37.csv,RogueAP_39.csv,fpr_le_0.30,1001,105,0.8259249925613403,0.5932203389830508,1.0,0.7446808510638298,0.08035714285714286,0.9729007227891155,0.7606074779026543,824,72,0,105
rf_per_bssid,RogueAP_38.csv,RogueAP_39.csv,best_f1,1003,114,0.5659722141699489,0.6706586826347305,0.9824561403508771,0.797153024911032,0.06186726659167604,0.9730724448917569,0.744570287506962,834,55,2,112
rf_per_bssid,RogueAP_38.csv,RogueAP_39.csv,fpr_le_0.20,1003,114,0.5222996313772008,0.6608187134502924,0.9912280701754386,0.7929824561403509,0.06524184476940383,0.9730724448917569,0.744570287506962,831,58,1,113
rf_per_bssid,RogueAP_38.csv,RogueAP_39.csv,fpr_le_0.30,1003,114,0.5222996313772008,0.6608187134502924,0.9912280701754386,0.7929824561403509,0.06524184476940383,0.9730724448917569,0.744570287506962,831,58,1,113
xgb_per_bssid,RogueAP_38.csv,RogueAP_39.csv,best_f1,1003,114,0.7380498266220102,0.6745562130177515,1.0,0.8056537102473498,0.06186726659167604,0.9883961873186904,0.9091676711934095,834,55,0,114
xgb_per_bssid,RogueAP_38.csv,RogueAP_39.csv,fpr_le_0.20,1003,114,0.8151865005493164,0.6766467065868264,0.9912280701754386,0.8042704626334519,0.06074240719910011,0.9883961873186904,0.9091676711934095,835,54,1,113
xgb_per_bssid,RogueAP_38.csv,RogueAP_39.csv,fpr_le_0.30,1003,114,0.8151865005493164,0.6766467065868264,0.9912280701754386,0.8042704626334519,0.06074240719910011,0.9883961873186904,0.9091676711934095,835,54,1,113
rf_per_bssid,RogueAP_39.csv,RogueAP_38.csv,best_f1,465,24,0.7638202094453618,0.5384615384615384,0.875,0.6666666666666666,0.04081632653061224,0.9798752834467119,0.6926650946356115,423,18,3,21
rf_per_bssid,RogueAP_39.csv,RogueAP_38.csv,fpr_le_0.20,465,24,0.22825182369616862,0.5217391304347826,1.0,0.6857142857142857,0.049886621315192746,0.9798752834467119,0.6926650946356115,419,22,0,24
rf_per_bssid,RogueAP_39.csv,RogueAP_38.csv,fpr_le_0.30,465,24,0.22825182369616862,0.5217391304347826,1.0,0.6857142857142857,0.049886621315192746,0.9798752834467119,0.6926650946356115,419,22,0,24
xgb_per_bssid,RogueAP_39.csv,RogueAP_38.csv,best_f1,465,24,0.9179830431938169,0.5675675675675675,0.875,0.6885245901639344,0.036281179138321996,0.9813869992441421,0.6764330788872177,425,16,3,21
xgb_per_bssid,RogueAP_39.csv,RogueAP_38.csv,fpr_le_0.20,465,24,0.8076229691505432,0.5714285714285714,1.0,0.7272727272727273,0.04081632653061224,0.9813869992441421,0.6764330788872177,423,18,0,24
xgb_per_bssid,RogueAP_39.csv,RogueAP_38.csv,fpr_le_0.30,465,24,0.8076229691505432,0.5714285714285714,1.0,0.7272727272727273,0.04081632653061224,0.9813869992441421,0.6764330788872177,423,18,0,24
